order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,discount,sales,profit,city_state
ZA-2018-172264,3/19/18,3/22/18,Second Class,BE-11455,OFF-AR-10003478,8,0,46.89,-280.43,Capetown
MX-2018-172073,11/4/18,11/4/18,First Class,DH-13675,TEC-MA-10003176,5,0,1979.84,1500.17,Rio de Janeiro
MX-2015-131689,6/29/15,7/5/15,Second Class,RS-19420,OFF-AP-10000828,23,0,3296.73,-64783.10,Toronto
BR-2017-106599,10/20/17,10/25/17,Standard Class,MD-17860,OFF-PA-10001526,14,0,39.11,-7.15,Mexico City 
IN-2015-170919,5/18/15,5/23/15,First Class,JS-16030,OFF-AR-10001118,27,0,71.34,-140.88,Tokyo
US-2018-174187,11/27/18,12/1/18,Standard Class,MD-17350,OFF-PA-10001583,21,0,98.17,27.41,"Abilene, Texas"
US-2017-127020,4/6/17,4/12/17,Second Class,SZ-20035,OFF-AR-10004062,21,0.2,145.25,-7624.59,"Auburn, New York"
US-2015-154473,12/27/15,1/1/16,Second Class,VD-21670,OFF-AR-10002280,1,0.2,3.99,1.04,"Andover, Massachusetts"
RU-2018-103641,4/13/18,4/19/18,Second Class,DF-13135,OFF-BI-10003718,29,0,2225.63,-644.58,London
AE-2016-136370,7/9/16,7/11/16,First Class,TC-21145,FUR-FU-10002505,6,0,16.50,-3.72,Berlin
EG-2017-114171,1/15/17,1/17/17,First Class,SC-20020,OFF-AP-10003217,23,0,3948.54,3873.95,London
DE-2015-138205,3/1/15,3/3/15,Second Class,BD-11635,OFF-AR-10003158,30,0,102.45,-52.32,Berlin
PH-2015-118526,12/17/15,12/24/15,Second Class,JC-15385,OFF-PA-10001947,30,0,128.09,-2601.31,Manila
US-2016-165599,1/9/16,1/9/16,First Class,CC-12145,OFF-PA-10001274,3,0,6.38,-393.19,"Monroe, Louisiana"
US-2017-117141,3/4/17,3/5/17,Second Class,JD-16060,OFF-PA-10002421,14,0,180.74,30.48,"Murray, Kentucky"
US-2016-125172,9/19/16,9/23/16,Standard Class,SJ-20500,TEC-MA-10003356,23,0,10576.52,10430.96,"Port Saint Lucie, Florida"
US-2015-165513,10/1/15,10/1/15,Same Day,BS-11800,OFF-AP-10002867,4,0,217.90,126.88,"Tamarac, Florida"
US-2016-135753,10/19/16,10/23/16,First Class,PJ-19015,TEC-PH-10002033,18,0.3,3186.79,517.16,"Monroe, Louisiana"
MX-2018-174833,5/29/18,6/4/18,Standard Class,TS-21655,FUR-CH-10001394,24,0,8255.28,8045.57,Toronto
MX-2018-147159,9/4/18,9/7/18,Standard Class,FM-14215,OFF-PA-10001204,29,0,92.64,-91.45,Rio de Janeiro
CA-2018-116203,2/11/18,2/12/18,Second Class,AW-10930,OFF-PA-10000249,6,0,50.77,-12.17,Rio de Janeiro
MX-2017-102819,4/5/17,4/5/17,Standard Class,SV-20785,OFF-AR-10000716,22,0,97.35,-443.67,Mexico City 
MX-2015-179702,9/11/15,9/14/15,Same Day,PB-18805,OFF-EN-10003567,28,0,456.66,374.12,Mexico City 
CA-2017-155315,7/28/17,8/1/17,Second Class,PS-18760,OFF-BI-10002103,25,0,164.24,-184.05,Toronto
CA-2016-165156,7/27/16,7/27/16,Standard Class,AC-10450,OFF-AR-10003481,12,0,30.74,-62.44,Toronto
IN-2016-104241,1/2/16,1/8/16,Standard Class,SS-20410,TEC-PH-10002885,20,0,12333.77,10156.13,New Delhi 
KR-2016-110440,9/5/16,9/12/16,Second Class,LD-16855,OFF-BI-10004236,26,0,247.33,-2652.21,New Delhi 
CN-2018-105317,6/13/18,6/19/18,Standard Class,LS-17200,FUR-FU-10001935,8,0,22.70,-178.46,Beijing
CN-2018-156587,3/31/18,4/7/18,Same Day,SS-20515,FUR-CH-10002965,5,0,880.29,-180.34,Beijing
KR-2016-132399,12/11/16,12/14/16,Standard Class,PT-19090,TEC-PH-10001468,12,0,1681.86,1549.77,New Delhi 
US-2017-167377,5/5/17,5/8/17,Second Class,CA-12310,OFF-PA-10003893,23,0,70.38,-6590.88,"Cedar Rapids, Iowa"
US-2015-148734,5/9/15,5/9/15,Standard Class,CC-12100,FUR-CH-10002647,1,0,58.56,-13.08,"Reading, Pennsylvania"
RU-2015-156669,1/14/15,1/20/15,Same Day,RS-19870,TEC-PH-10002660,7,0,464.03,442.37,Moscow
AE-2018-148663,9/1/18,9/2/18,First Class,VM-21835,OFF-PA-10001752,21,0,69.34,-4080.26,Berlin
AU-2015-113754,12/2/15,12/9/15,Standard Class,AH-10585,TEC-AC-10004127,14,0,109.83,45.09,Sydney
US-2015-127753,7/17/15,7/23/15,Second Class,JD-16060,OFF-ST-10002574,24,0.1,3878.97,3193.78,"Murray, Kentucky"
US-2017-133756,2/1/17,2/5/17,First Class,EB-13705,FUR-FU-10004845,16,0,727.23,705.80,"Columbia, South Carolina"
US-2017-120716,9/15/17,9/18/17,Second Class,CM-12445,OFF-PA-10004996,24,0,170.49,-36.18,"Redwood City, California"
US-2017-155956,9/17/17,9/21/17,Second Class,TN-21040,OFF-BI-10003784,7,0.7,2.20,-14.79,"The Colony, Texas"
US-2016-148922,4/19/16,4/22/16,Second Class,DP-13105,OFF-AR-10003478,3,0.2,14.07,-272.78,"Rockville, Maryland"
US-2015-164881,5/26/15,5/31/15,Standard Class,NP-18670,FUR-BO-10000112,6,0.1,679.00,571.18,"Lowell, Massachusetts"
US-2017-134037,9/5/17,9/11/17,Second Class,EH-14125,OFF-BI-10000088,28,0.8,34.49,-371.70,"Virginia Beach, Virginia"
US-2017-102220,8/27/17,8/30/17,Standard Class,MZ-17515,FUR-FU-10000521,21,0,510.16,-195.94,"Bartlett, Tennessee"
US-2017-127826,4/20/17,4/25/17,First Class,KM-16225,TEC-PH-10001425,12,0,967.56,935.89,"Sierra Vista, Arizona"
US-2017-178640,9/3/17,9/6/17,Same Day,DJ-13420,FUR-CH-10001714,2,0,305.40,302.94,"Wilmington, Delaware"
US-2016-162041,5/26/16,6/1/16,First Class,JJ-15760,OFF-PA-10004996,11,0,78.14,-1769.35,"Mason, Ohio"
RU-2018-125947,12/17/18,12/22/18,Standard Class,BD-11560,FUR-BO-10003893,17,0.1,1829.56,709.47,London
DE-2016-116236,7/4/16,7/11/16,First Class,SC-20020,TEC-AC-10000303,2,0,64.30,42.12,London
AU-2016-136490,5/12/16,5/17/16,First Class,DB-13360,TEC-AC-10000710,20,0,244.23,176.84,Manila
US-2018-125517,8/2/18,8/9/18,First Class,JL-15850,TEC-AC-10002567,6,0,368.59,151.39,"Henderson, Kentucky"
CA-2015-155710,2/26/15,2/26/15,Second Class,EC-14050,TEC-AC-10003433,11,0,8.39,-184.13,Rio de Janeiro
CA-2017-148975,3/11/17,3/17/17,Second Class,CC-12685,FUR-TA-10004289,7,0.3,1119.04,991.30,Rio de Janeiro
BR-2017-118682,11/26/17,11/30/17,Same Day,HF-14995,FUR-TA-10003954,14,0.3,3433.73,3387.69,Rio de Janeiro
CA-2015-152598,6/10/15,6/15/15,Same Day,SV-20785,OFF-PA-10000477,29,0,107.16,62.67,Mexico City 
US-2015-157948,10/28/15,11/3/15,Same Day,ME-17320,OFF-PA-10000673,8,0,36.34,-7451.60,"Deer Park, Texas"
US-2016-120275,9/3/16,9/10/16,Second Class,DK-12835,OFF-PA-10000061,13,0,56.95,-267.80,"Maple Grove, Minnesota"
US-2016-125454,12/7/16,12/9/16,Second Class,MG-17680,OFF-AR-10003732,3,0,8.64,-23.13,"Olathe, Kansas"
DE-2018-148273,6/1/18,6/6/18,Standard Class,PJ-18835,TEC-AC-10002380,3,0,34.91,22.64,Beirut
EG-2017-129771,11/16/17,11/16/17,Same Day,GR-14560,FUR-FU-10003096,14,0,84.80,39.52,Moscow
AU-2016-110135,1/3/16,1/5/16,Second Class,BE-11410,FUR-TA-10003238,16,0.35,6498.04,5040.21,Sydney
US-2017-136658,9/6/17,9/9/17,Standard Class,CB-12535,OFF-AP-10001564,29,0,6987.63,6277.42,"Rock Hill, South Carolina"
US-2017-114507,7/3/17,7/9/17,Same Day,JO-15280,OFF-AR-10001315,28,0,45.49,-2337.48,"Springfield, Virginia"
