product_id,category,sub_category,product_name,product_cost_to_consumer
TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,5704.89696
TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,2365.99324
TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,3255.99186
TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",1154.39112
OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,1060.28439
TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,1397.193
OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,2043.63744
TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,381.9849
TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,1291.277
OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,881.92152
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,261.36
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,1308.9923
TEC-MA-10000010,Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,237.12
TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,392.69439
TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",1665.99048
TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,475.19208
TEC-MA-10000112,Technology,Machines,Panasonic KX MB2061 Multifunction Printer,243.8337
TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,784.8022
TEC-PH-10002114,Technology,Phones,Xiaomi Mi3,590.50964
TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,3107.98964
OFF-AP-10000275,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",283.51296
TEC-PH-10002645,Technology,Phones,LG G2,487.49025
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",814.02552
TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,795.19006
TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,333.89258
TEC-PH-10004241,Technology,Phones,Nokia Lumia 1020,388.79136
TEC-PH-10002352,Technology,Phones,Avaya IP Phone 1140E VoIP phone,268.38838
TEC-MA-10004212,Technology,Machines,Cisco SPA525G2 5-Line IP Phone,127.98758
TEC-MA-10003230,Technology,Machines,Okidata C610n Printer,506.869
OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,541.63604
FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",486.14544
FUR-CH-10000309,Furniture,Chairs,Global Comet Stacking Arm Chair,348.57075
OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,494.637
TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,305.99388
FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,729.0192
TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,519.39258
OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",175.30128
OFF-AP-10003590,Office Supplies,Appliances,Hoover WindTunnel Plus Canister Vacuum,366.156
TEC-MA-10002073,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White",1029.59208
TEC-MA-10004552,Technology,Machines,Star Micronics TSP100 TSP143LAN Receipt Printer,268.2722
OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,826.1435
TEC-MA-10002937,Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",418.07129
TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,384.9923
TEC-AC-10003870,Technology,Accessories,LogitechÂ Z-906 Speaker sys - home theater - 5.1-CH,277.1916
TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,374.39376
TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,453.59244
OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,522.94517
FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,487.56708
OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,226.12293
FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,208.3692
TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,330.8088
OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,336.60957
TEC-AC-10004666,Technology,Accessories,MaxellÂ iVDR EX 500GB Cartridge,219.88092
OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,235.16598
FUR-BO-10000112,Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",125.7408
FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,330.8085
FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,450.882
TEC-PH-10002885,Technology,Phones,Apple iPhone 5,616.68867
TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 -Â speaker phone,477.3923
OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,283.3523
FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,350.38094
TEC-MA-10001695,Technology,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,355.7645
TEC-MA-10002178,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,506.4696
TEC-MA-10004241,Technology,Machines,Star Micronics TSP800 TSP847IIU Receipt Printer,277.9596
OFF-AP-10002734,Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,166.75464
OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,273.637
TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,341.87186
OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",292.0566
OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,1142.61532
