order_id,return_date,return_quantity,reason_returned
US-2016-114215,6/7/16,24,Wrong Color
PH-2017-160199,11/19/17,4,Not Given 
US-2017-167170,9/23/17,3,Wrong Item
ZA-2016-153829,8/29/16,12,Not Needed
US-2017-161047,3/26/17,4,Wrong Color
US-2018-159155,9/15/18,2,Not Needed
EG-2018-138547,3/11/18,6,Wrong Item
US-2015-149045,7/1/15,21,Wrong Color
US-2017-171508,3/8/17,2,Wrong Item
KR-2016-152224,12/11/16,1,Wrong Color
US-2015-168242,2/9/15,2,Wrong Item
US-2016-168277,1/13/17,3,Wrong Color
US-2015-107802,9/24/15,18,Not Needed
US-2018-161242,2/7/19,21,Wrong Item
US-2018-172595,2/8/18,19,Wrong Item
EG-2017-168226,10/1/17,7,Not Needed
RU-2016-112764,10/20/16,2,Wrong Color
US-2018-103643,10/7/18,0,Not Needed
CA-2015-153523,10/6/15,4,Not Needed
MX-2017-156585,1/21/17,3,Wrong Item
CA-2015-154566,1/2/16,13,Wrong Item
US-2018-121343,7/11/18,3,Wrong Color
PH-2018-121814,12/25/18,2,Wrong Item
US-2015-153841,9/25/15,3,Not Needed
EG-2018-110240,11/4/18,2,Not Given 
CA-2015-103026,3/26/15,10,Wrong Item
ZA-2017-104713,8/30/17,4,Not Given 
ZA-2017-148294,1/11/18,15,Wrong Item
US-2016-122167,2/19/16,10,Wrong Item
US-2017-170791,7/31/17,7,Wrong Item
AE-2016-139326,4/11/16,0,Wrong Item
US-2016-108584,6/1/16,1,Wrong Item
US-2015-173237,4/24/15,0,Not Given 
US-2017-138311,7/20/17,15,Wrong Color
US-2018-176160,2/19/19,16,Not Given 
AE-2017-142379,9/9/17,11,Not Needed
US-2015-133318,1/8/16,0,Not Needed
US-2015-148329,10/28/15,7,Not Needed
US-2018-106414,10/24/18,5,Not Given 
US-2015-178678,9/15/15,23,Wrong Item
US-2015-174808,5/8/15,1,Wrong Item
US-2017-178029,9/12/17,8,Not Given 
US-2015-164792,5/1/15,2,Not Given 
US-2017-171476,11/4/17,18,Not Needed
US-2018-115363,1/28/19,0,Wrong Color
US-2017-169852,11/25/17,0,Not Needed
ZA-2016-113093,7/15/16,19,Wrong Item
US-2017-102609,9/14/17,8,Wrong Item
US-2016-109005,2/26/17,4,Not Given 
PH-2018-161528,12/12/18,3,Wrong Item
IN-2015-162391,11/4/15,5,Not Needed
US-2016-139243,5/26/16,12,Wrong Color
MX-2015-168120,10/6/15,22,Wrong Item
US-2018-153974,11/4/18,7,Wrong Item
US-2017-129042,4/12/17,0,Not Needed
US-2017-155143,1/22/18,0,Not Needed
GB-2015-128791,4/18/15,9,Wrong Item
JP-2015-158396,9/27/15,13,Wrong Item
AE-2016-164953,3/7/16,5,Not Needed
US-2017-152943,11/10/17,11,Not Needed
US-2015-168912,8/11/15,10,Not Needed
US-2015-116839,10/22/15,13,Wrong Item
US-2016-116164,2/7/17,18,Wrong Item
EG-2016-125699,6/3/16,0,Not Given 
DE-2017-119086,4/1/17,10,Wrong Item
JP-2015-147477,7/1/15,16,Wrong Item
US-2018-123404,4/10/18,3,Not Given 
PH-2015-122096,3/29/15,2,Wrong Item
GB-2018-157474,8/13/18,7,Not Given 
US-2015-159681,5/6/15,3,Not Given 
CA-2017-177739,5/11/17,0,Not Needed
US-2015-139742,10/18/15,2,Not Given 
US-2017-128070,10/30/17,22,Wrong Item
US-2018-124136,1/1/19,1,Wrong Item
EG-2018-119984,6/13/18,2,Wrong Color
CN-2018-102305,1/17/19,6,Not Given 
AE-2015-146457,7/2/15,4,Wrong Item
AE-2018-104140,1/10/18,0,Wrong Item
US-2015-131757,11/3/15,10,Wrong Item
CN-2018-149846,2/23/18,15,Not Given 
US-2015-107853,8/24/15,7,Not Needed
DE-2015-118249,7/18/15,2,Wrong Color
US-2017-133402,7/10/17,14,Wrong Item
US-2015-164580,6/22/15,22,Wrong Item
US-2018-135581,7/10/18,1,Wrong Item
EG-2017-104261,1/11/18,15,Not Needed
US-2016-125350,1/5/17,7,Not Needed
EG-2015-148046,7/17/15,1,Wrong Color
AU-2018-122741,10/30/18,12,Wrong Item
RU-2015-138358,6/19/15,4,Not Given 
DE-2018-109286,5/12/18,6,Wrong Color
US-2018-129276,10/3/18,10,Not Given 
DE-2016-165212,11/19/16,11,Wrong Color
US-2017-139627,8/19/17,7,Not Given 
US-2017-122450,5/10/17,2,Wrong Color
US-2018-120578,8/24/18,0,Not Given 
US-2015-168417,10/19/15,18,Not Needed
US-2015-149371,6/24/15,17,Wrong Color
MX-2017-118088,10/8/17,9,Not Needed
CN-2015-118549,1/31/16,3,Wrong Color
CN-2016-158626,11/12/16,2,Wrong Item
US-2016-163563,5/11/16,1,Not Given 
ZA-2016-103313,12/14/16,0,Wrong Color
US-2017-176345,7/7/17,1,Not Given 
EG-2017-174179,4/22/17,1,Not Given 
DE-2017-127972,7/16/17,4,Not Given 
PH-2018-136144,7/3/18,6,Wrong Item
US-2016-170853,8/15/16,17,Wrong Item
ZA-2015-169851,9/24/15,2,Wrong Item
US-2016-159645,6/21/16,5,Wrong Color
AE-2018-129780,8/22/18,14,Wrong Color
RU-2016-132327,12/25/16,3,Wrong Color
US-2015-168275,10/8/15,14,Not Needed
