order_id,return_date,return_quantity,reason_returned
AG-2011-8930,2012-02-16,1,Wrong Item
AG-2012-4750,2013-02-03,2,Wrong Item
AG-2014-4290,2014-08-25,1,Not Given
AG-2014-7770,2014-05-02,1,Not Given
AG-2014-8040,2014-05-23,1,Not Given
AJ-2012-7720,2012-12-26,1,Wrong Color
AJ-2013-2640,2013-03-19,2,Not Needed
AJ-2014-9620,2015-02-19,1,Not Needed
AL-2011-7440,2011-04-25,1,Not Needed
AL-2013-3830,2013-10-04,1,Not Given
AO-2012-7800,2012-09-13,1,Not Given
AO-2013-7170,2013-10-07,2,Not Given
AO-2014-2270,2014-07-25,1,Not Given
AO-2014-7730,2015-02-24,1,Not Given
AU-2012-940,2012-08-06,2,Not Given
AU-2012-9900,2012-12-22,1,Not Given
AU-2014-1530,2014-10-30,1,Not Given
AU-2014-3670,2015-02-11,4,Wrong Item
AU-2014-9620,2014-10-23,1,Wrong Item
BK-2014-2770,2015-01-29,1,Wrong Color
BK-2014-5210,2014-10-16,1,Not Given
BO-2012-5160,2012-10-29,1,Not Given
BO-2013-1400,2014-02-07,1,Not Needed
BO-2013-3500,2013-08-19,1,Not Given
BO-2014-5570,2014-04-06,1,Not Given
BO-2014-8960,2014-04-07,1,Wrong Item
BO-2014-9040,2014-04-27,1,Not Given
BO-2014-9240,2014-07-29,1,Not Given
BU-2013-3730,2013-05-25,2,Not Given
BU-2013-5690,2013-07-31,1,Not Given
BU-2013-7380,2013-03-27,1,Wrong Item
BU-2014-880,2014-04-11,1,Not Given
CA-2011-100293,2011-05-08,1,Not Given
CA-2011-100867,2011-12-14,1,Wrong Item
CA-2011-101364,2012-02-15,1,Not Needed
CA-2011-101392,2012-02-02,2,Wrong Item
CA-2011-101931,2011-12-21,1,Wrong Item
CA-2011-102330,2012-02-23,1,Wrong Color
CA-2011-102869,2011-11-04,1,Wrong Item
CA-2011-102988,2011-05-30,1,Wrong Color
CA-2011-103219,2012-01-03,1,Wrong Item
CA-2011-103317,2011-08-28,1,Not Needed
CA-2011-103702,2011-11-07,1,Not Given
CA-2011-104472,2011-07-28,2,Wrong Color
CA-2011-104563,2011-05-02,1,Wrong Item
CA-2011-104780,2011-07-15,2,Wrong Item
CA-2011-105417,2011-03-05,2,Not Given
CA-2011-106054,2011-02-28,1,Not Given
CA-2011-106376,2012-01-30,1,Not Given
CA-2011-106726,2012-01-28,1,Wrong Color
CA-2011-106971,2011-10-29,1,Not Given
CA-2011-107755,2011-04-05,1,Not Given
CA-2011-108609,2011-12-23,1,Not Given
CA-2011-108903,2011-11-23,1,Wrong Item
CA-2011-109232,2011-03-09,1,Not Given
CA-2011-110065,2011-10-01,1,Not Given
CA-2011-110184,2011-09-05,1,Not Given
CA-2011-110408,2011-12-10,1,Not Given
CA-2011-110422,2011-03-16,1,Wrong Color
CA-2011-110849,2011-06-13,1,Not Needed
CA-2011-111059,2011-03-30,1,Not Needed
CA-2011-111150,2012-02-24,1,Wrong Item
CA-2011-111500,2011-10-11,1,Not Needed
CA-2011-111773,2011-08-23,1,Not Given
CA-2011-111871,2011-05-11,2,Wrong Item
CA-2011-112158,2012-01-24,1,Wrong Color
CA-2011-112837,2011-11-06,1,Not Given
CA-2011-113166,2012-02-15,1,Wrong Item
CA-2011-113257,2012-02-07,2,Wrong Item
CA-2011-113362,2011-11-09,1,Not Needed
CA-2011-113859,2011-11-07,1,Wrong Item
CA-2011-113964,2011-11-20,2,Not Given
CA-2011-114643,2011-08-07,1,Not Needed
CA-2011-114790,2011-05-03,1,Wrong Item
CA-2011-115049,2011-11-21,2,Not Given
CA-2011-115084,2011-12-12,1,Not Given
CA-2011-115336,2012-01-15,2,Not Given
CA-2011-115357,2011-10-01,1,Wrong Item
CA-2011-116190,2011-09-21,1,Not Needed
CA-2011-116246,2011-11-07,1,Wrong Item
CA-2011-116666,2011-06-30,1,Wrong Color
CA-2011-117765,2011-11-03,1,Wrong Color
CA-2011-119144,2012-01-08,1,Not Needed
CA-2011-119151,2012-01-19,1,Wrong Item
CA-2011-119375,2012-01-12,1,Wrong Item
CA-2011-119977,2011-12-03,1,Wrong Item
CA-2011-120096,2011-08-27,1,Not Given
CA-2011-120432,2011-10-16,1,Wrong Item
CA-2011-120670,2011-12-27,1,Wrong Item
CA-2011-121629,2012-01-22,1,Wrong Item
CA-2011-121664,2011-06-30,1,Not Given
CA-2011-122070,2011-06-14,1,Not Given
CA-2011-122336,2011-06-07,1,Wrong Item
CA-2011-122567,2011-04-14,1,Not Given
CA-2011-123323,2012-01-02,1,Not Given
CA-2011-123925,2012-02-08,1,Wrong Item
CA-2011-124247,2012-02-10,1,Not Given
CA-2011-124394,2011-12-12,1,Not Given
CA-2011-124478,2011-10-02,1,Not Needed
CA-2011-124856,2011-11-23,1,Not Given
CA-2011-125136,2011-11-23,1,Not Given
CA-2011-125150,2011-07-13,1,Wrong Item
CA-2011-125171,2011-10-24,1,Wrong Item
CA-2011-126361,2011-09-29,1,Wrong Item
CA-2011-126403,2011-11-02,1,Wrong Color
CA-2011-126907,2011-12-29,1,Not Given
CA-2011-127586,2011-11-20,1,Wrong Item
CA-2011-127859,2011-05-10,1,Not Given
CA-2011-128622,2012-01-07,1,Not Given
CA-2011-128888,2012-01-12,1,Wrong Item
CA-2011-130274,2011-06-25,1,Not Needed
CA-2011-130449,2011-10-30,1,Not Needed
CA-2011-130624,2011-08-14,1,Wrong Item
CA-2011-130813,2011-03-01,1,Not Needed
CA-2011-131310,2011-09-07,1,Not Given
CA-2011-131387,2011-06-20,1,Wrong Color
CA-2011-131541,2011-09-17,2,Not Given
CA-2011-131800,2012-02-24,1,Wrong Item
CA-2011-131905,2011-04-02,1,Not Given
CA-2011-132227,2011-12-31,2,Wrong Color
CA-2011-132612,2011-08-01,1,Wrong Item
CA-2011-133389,2011-08-12,1,Not Given
CA-2011-135090,2012-01-16,1,Wrong Color
CA-2011-135608,2012-01-30,1,Not Given
CA-2011-135993,2011-07-23,1,Wrong Item
CA-2011-136567,2012-02-10,1,Not Needed
CA-2011-136644,2011-08-12,1,Not Given
CA-2011-136861,2011-10-28,1,Not Needed
CA-2011-137351,2011-11-24,2,Not Needed
CA-2011-138023,2011-10-08,1,Wrong Item
CA-2011-138100,2011-11-10,1,Wrong Color
CA-2011-138450,2011-12-12,1,Wrong Item
CA-2011-139283,2012-01-17,1,Not Given
CA-2011-139451,2011-12-06,1,Not Needed
CA-2011-140004,2011-05-15,1,Not Given
CA-2011-140039,2011-11-07,1,Not Given
CA-2011-140795,2011-03-27,1,Not Given
CA-2011-140816,2012-02-09,3,Not Given
CA-2011-141005,2011-10-08,1,Not Given
CA-2011-142314,2012-02-17,1,Wrong Color
CA-2011-142510,2012-02-18,1,Wrong Item
CA-2011-143385,2011-10-26,2,Not Given
CA-2011-143637,2011-05-19,1,Not Given
CA-2011-144029,2011-07-21,1,Wrong Item
CA-2011-144666,2012-01-01,1,Not Given
CA-2011-144974,2011-11-20,1,Wrong Color
CA-2011-145576,2011-11-08,1,Not Given
CA-2011-145926,2012-01-11,1,Not Given
CA-2011-146283,2011-11-05,1,Wrong Item
CA-2011-146640,2011-08-25,2,Wrong Color
CA-2011-146843,2012-01-26,1,Wrong Item
CA-2011-146885,2011-07-26,1,Wrong Color
CA-2011-146990,2011-12-29,1,Not Given
CA-2011-146997,2011-03-20,1,Wrong Color
CA-2011-147298,2011-06-23,2,Not Given
CA-2011-149524,2011-03-08,1,Not Given
CA-2011-150203,2012-01-27,1,Not Given
CA-2011-150245,2012-02-24,1,Not Given
CA-2011-150329,2011-12-04,1,Not Given
CA-2011-151001,2011-05-28,1,Not Needed
CA-2011-151162,2012-01-29,1,Not Given
CA-2011-151708,2011-10-04,1,Not Given
CA-2011-151897,2011-07-31,2,Wrong Color
CA-2011-152296,2011-09-23,1,Wrong Color
CA-2011-152849,2011-09-01,1,Not Given
CA-2011-153087,2012-02-23,1,Wrong Item
CA-2011-153850,2012-01-19,1,Wrong Item
CA-2011-153983,2012-01-26,1,Not Given
CA-2011-154165,2011-04-17,7,Wrong Item
CA-2011-154592,2012-01-28,1,Not Needed
CA-2011-154599,2011-06-07,1,Wrong Item
CA-2011-154627,2011-12-21,1,Not Given
CA-2011-155208,2011-06-10,1,Not Given
CA-2011-155593,2011-12-29,1,Not Given
CA-2011-155796,2012-01-05,1,Wrong Color
CA-2011-155887,2011-07-07,1,Wrong Color
CA-2011-156790,2011-09-30,1,Not Given
CA-2011-157546,2011-09-11,1,Wrong Item
CA-2011-157644,2012-02-21,1,Not Needed
CA-2011-158337,2011-05-04,1,Wrong Color
CA-2011-158771,2011-06-29,1,Not Given
CA-2011-159310,2012-01-02,1,Wrong Color
CA-2011-159338,2011-08-18,1,Not Given
CA-2011-159709,2011-07-05,1,Wrong Item
CA-2011-159800,2012-01-21,1,Wrong Item
CA-2011-159849,2011-11-09,1,Not Needed
CA-2011-160094,2011-06-22,1,Wrong Item
CA-2011-160738,2011-06-30,1,Wrong Item
CA-2011-162089,2011-05-22,1,Not Needed
CA-2011-162362,2012-01-08,2,Wrong Item
CA-2011-162866,2012-02-20,2,Not Needed
CA-2011-163447,2012-02-20,3,Wrong Item
CA-2011-164259,2012-02-19,1,Wrong Color
CA-2011-164861,2012-01-26,1,Not Given
CA-2011-164903,2011-04-17,1,Wrong Color
CA-2011-165428,2011-10-25,1,Not Given
CA-2011-165477,2012-02-20,1,Wrong Item
CA-2011-165540,2011-04-18,1,Not Given
CA-2011-165568,2011-04-12,1,Wrong Item
CA-2011-165974,2011-08-26,1,Not Given
CA-2011-166555,2011-09-03,1,Not Given
CA-2011-168305,2011-12-29,1,Not Needed
CA-2011-168312,2011-04-27,1,Not Given
CA-2011-169033,2011-05-24,1,Not Given
CA-2011-5810,2011-11-21,1,Wrong Item
CA-2011-8990,2011-05-02,1,Wrong Item
CA-2012-100685,2013-02-10,1,Wrong Item
CA-2012-101910,2013-01-23,1,Not Needed
CA-2012-102722,2012-06-09,1,Wrong Item
CA-2012-102806,2012-07-18,1,Wrong Item
CA-2012-102855,2012-05-27,1,Wrong Item
CA-2012-103716,2012-06-26,1,Not Given
CA-2012-104241,2012-02-29,1,Not Needed
CA-2012-104626,2012-10-29,1,Not Given
CA-2012-105221,2012-12-24,1,Wrong Item
CA-2012-105571,2013-01-01,1,Not Given
CA-2012-105634,2013-01-04,1,Wrong Item
CA-2012-106565,2012-05-13,1,Wrong Item
CA-2012-107902,2012-10-23,2,Not Given
CA-2012-108532,2012-10-23,1,Wrong Item
CA-2012-109001,2012-04-29,1,Wrong Color
CA-2012-109386,2013-01-03,1,Wrong Item
CA-2012-109603,2012-03-23,2,Wrong Color
CA-2012-110289,2012-12-23,1,Wrong Item
CA-2012-110744,2012-11-02,2,Not Given
CA-2012-110877,2012-12-16,1,Not Given
CA-2012-111199,2013-01-07,1,Wrong Color
CA-2012-111297,2012-10-11,1,Not Given
CA-2012-111325,2012-04-19,2,Wrong Item
CA-2012-111395,2013-01-17,1,Not Needed
CA-2012-113145,2012-12-26,1,Not Needed
CA-2012-113523,2012-10-29,1,Wrong Item
CA-2012-113740,2012-10-18,1,Not Needed
CA-2012-113971,2012-07-04,1,Not Needed
CA-2012-114048,2013-02-07,1,Wrong Item
CA-2012-114300,2012-12-07,1,Not Given
CA-2012-115392,2012-11-24,1,Not Given
CA-2012-115567,2012-11-08,1,Not Given
CA-2012-115924,2012-11-08,1,Wrong Item
CA-2012-115938,2012-08-20,3,Not Given
CA-2012-116260,2012-09-01,1,Wrong Color
CA-2012-116638,2012-03-22,3,Not Needed
CA-2012-117772,2012-11-02,1,Not Given
CA-2012-117884,2012-05-12,2,Wrong Item
CA-2012-118444,2012-12-30,1,Not Given
CA-2012-118843,2012-11-10,2,Not Needed
CA-2012-118871,2013-01-29,1,Not Needed
CA-2012-119508,2013-01-29,1,Not Given
CA-2012-119879,2013-01-15,1,Wrong Color
CA-2012-120397,2012-08-22,1,Wrong Item
CA-2012-120677,2012-07-25,1,Wrong Item
CA-2012-121699,2012-10-04,1,Not Needed
CA-2012-122168,2012-10-16,1,Wrong Item
CA-2012-122259,2012-12-25,2,Wrong Item
